category,confidence,reason,description
Отопление,0.95,Упоминание отсутствия тепла после продувки,В доме было тепло Мы продули сейчас опять тепла нету
Крыша,0.95,Падение льда с крыши угрожает безопасности,с крыши упали ледины почти на человека
Иное,0.9,Просьба убрать мусор после работ,левичева тринадцать левичева пятнадцать левичева семнадцать герцена тринадцать после смены столбов детки api из столбы оставлены просьба убрать мусор
Иное,0.6,"Термин 'затопило' неясен, возможна протечка","затопило
это не по заявке то срочно приехать"
Иное,0.7,"Просьба снять козырек, не относится к инженерным системам",так вот нам приходят письма мы живем на втором этаже дом двухэтажный чтобы мы сняли козырек
Иное,0.95,"Проблема с птицей на крыше, не связана с ЖКХ",на девятом этаже закрыт вход на крышу там упала птица попала птица ей никак не выбраться уже второй день она там кричит бессильно необходима помощь скрыть замок и выпустить птицу
НЕЯСНО,0.9,"Нет конкретной проблемы, просьба связаться с оператором",Не с оператором связаться с ним пообщаться
Уборка уличная,0.95,Житель сообщает о неубранном снеге,"не убран снег
срочно убрать снег"
Уборка уличная,0.95,Жалоба на неубранную помойку и запах,помойку не убирают потому что видите ли контейнер сломан она уже три недели здесь тухнет вонище стоит неимоверное черви уже ползают крысы развелись табунами ходят вы ждете чтобы я позвонила губернатору в конце то концов когда это закончится они говорят контейнеров нет
НЕЯСНО,0.1,Текст не содержит информации о проблеме,что случилось ты планет со вчерашнего дня я вам ещё раз говорю
Отопление,0.9,жалоба на отсутствие тепла,нет тепла ванны маленькая комнате на кухне
Водоснабжение,0.6,"Упоминание о протечке воды, неясно какая",а вот у нас случилось было это самое полилось мы звони не это слышать вас
НЕЯСНО,0.3,Фраза не содержит конкретной проблемы,"в квартире этажом ниже получается 
 жизнь"
Отопление,0.95,"Упоминание наладки тепла, заявка по отоплению","ну я уже как бы оставляла заявку мне сказали ее номер девятнадцать тысяч восемьсот тридцать один я хотела бы выяснить придут ли сегодня налаживать тепло
да хочу добавить номер телефона"
Ремонт,0.9,Ямочный ремонт относится к ремонтным работам,Ремонт придомовой территории (ямочный ремонт)
НЕЯСНО,0.9,"Нет информации о проблеме, только жалоба",я сегодня уже два раза оставляла заявку сколько еще треде будем оставлять
Отопление,0.9,Затопление теплоузла связано с отоплением,Можайского . 19 - 2    .у нас затоплен теплоузел
Уборка уличная,0.95,Житель сообщает об отсутствии уборки снега во дворе,уборка снега не производится во дворе
НЕЯСНО,0.95,Вопрос не относится к заявке ЖКХ,я с кем разговариваю с роботом или с человеком
Крыша,0.9,"Упоминание протечки кровли, типичная заявка","натечка кровли
хочу с человеком поговорить"
Вентиляция,0.9,Упоминание вентиляционного блока и его выпадение,в вентиляционный блок выпал из стены
Вентиляция,0.7,Гул в подъезде часто связан с вентиляцией,"в подъезде гудит
гудит очень сильно и долго гудит"
Водоснабжение,0.6,Передача показаний счетчика обычно относится к воде,"передать показания счетчика
показания счетчика"
Иное,0.9,Запрос контактов для уточнения по ремонту насоса,у кого конкретно я могу уточнить по общедомовому прибору по насосу который у нас в ремонте с кем мне можно связаться
Крыша,0.9,Срочно снять глыбу льда с крыши,Топливный 10- срочно снять глыбу льда с крыши нет дома света
Отопление,0.95,Упоминание отсутствия парового отопления,Нету парового в трёхкомнатной квартире
НЕЯСНО,0.9,"Нет описания проблемы, только запрос связи","связь с оператором
связь с оператором"
НЕЯСНО,0.1,Слишком короткий и неинформативный текст,"в подъезде
в подъезде"
Водоотведение,0.9,Запах канализации и течь в подвале,в подвале течет струк говно три недели уже залит подвал дышать нечем сколько это будет продолжаться
Отопление,0.9,Измерение температуры воздуха связано с отоплением,мне нужен заявку на техника который пришел бы измерил температуру воздуха в квартире
Крыша,0.95,Протечка крыши и обвал потолка,у нас протекает крыша и обвалился потолок вчера приезжали плотники закрывать там толью забивать крышу наполовину сделали и все
Крыша,0.95,Упоминание снега на крыше,нависает снег с крыши
Отопление,0.8,Гул труб теплового узла связан с отоплением,трубы которые блок видимо тепловой узел гудят
Водоотведение,0.9,Замена трубки сливного бачка относится к водоотведению,Замена трубки сливного бачка
Отопление,0.85,Пар из подвала указывает на утечку теплоносителя,между вторым и третьим подъездом из подвала идет пар
Иное,0.9,"Жалоба на открытую фрамугу, не связана с инженерными системами",у нас на этаже нашем третьем подъезде на четвертом этаже стало быть и открыто фрамуг ну холод идёт и никто не соизволит столько времени закрыть представляет а я женщина уже пожилая я не могу у меня сил нет и вот я бы хотела попросить вас чтобы вы кого то послали чтобы
НЕЯСНО,0.95,"Просьба соединить с оператором, без указания проблемы","оператора мне включите пожалуйста
мне нужен оператор соедините пожалуйста не хочу разговаривать с автоответчиком"
Электроснабжение,0.6,Слово 'линии' указывает на электросети,до сих пор нету этот линии
Ремонт,0.9,Оторвавшийся козырёк требует ремонта для безопасности,"бумажников два козырёк оторвался на доме железово болтается оторвётся кому на голову
хочу чтобы побыстрее отремонтировали то оторвётся кому нибудь голову оторвёт козырёк этот"
Водоснабжение,0.9,"Прорыв трубы в подвале, вода",в подвале прорвала трубу
Иное,0.6,"Жалоба на директора, не связана с ЖКХ",скажите вашему директору наталье леонове если будет установи канал
ГВС,0.95,Запрос на передачу показаний горячей воды,я бы хотела передать показания по горячей воде
Отопление,0.95,Просьба отключить тепло относится к отоплению,просьба отключить тепло
Домофоны,0.95,Прямое указание на ремонт домофона,Ремонт домофона необходимо
Отопление,0.95,Упоминание отсутствия теплоснабжения,отсутствует теплоснабжения
Иное,0.9,Падение дерева не относится к инженерным системам,У нас случилась дерево упало
Отопление,0.95,Житель сообщает об отсутствии тепла в кухне и бане,я давала заявку у нас в кухне и в бане нет тепла в кухне ненадолго дали тепло и исчезла опять тепло опять нет тепла
НЕЯСНО,0.3,Текст не содержит информации о проблеме,Отключено и Свистунов меня
Ремонт,0.7,Просьба восстановить что-то в подъезде,в первом подъезде на четвертом этаже нужно восстановить
Вентиляция,0.9,Житель сообщает о забитом дымоходе для газовой колонки,в пятницу проверяли дымоходы человека у меня значит забито дымоход забит хотелось бы чтобы прочистили его чтобы муж было пользоваться колонкой
Иное,0.9,"Запрос телефона для справок, не ЖКХ","мне нужен телефон
выписки и прописки"
ГВС,0.7,"Упоминание полотенцесушителя, связанного с горячей водой",хотела у нас холодное полотенце сушитель после вчерашнего ремонта что то делали сотрудники ваши
Иное,0.7,Конденсат на окне не относится к инженерным системам,Авария конденсат идёт с окна капает
Отопление,0.95,Указано отсутствие тепла в квартирах,тепло в подъезде есть а в квартирах нет
Водоснабжение,0.9,Упоминание водяного насоса в подвале,подкачивающий водяной насос в подвале
НЕЯСНО,0.9,Текст не содержит информации о проблеме,"да
леонидовна то нету на месте она бы сказала что делать то"
НЕЯСНО,0.3,Фраза не содержит сути обращения,"сведения передать на
пока нет"
НЕЯСНО,0.1,"Только адрес, нет сути обращения","дом четыре квартира два
что"
ГВС,0.7,"Упоминание отсутствия пара, вероятно, горячей воды",у нас ничего не случилось у нас семнадцатое число сегодня и у нас нет пара
Вентиляция,0.7,"Жалоба на невозможность дышать, задыхаться",тоже невозможно дышать нечем я задыхаю все вопросы звонила сейчас в департамент все вопросы на на конскую шесть звонила тоже все вопросы коммунальщик работает с этим вопросом задушили не
Отопление,0.95,Упоминание отсутствия тепла в секции,у нас секции до сих пор нету тепла
Иное,0.9,"Жалоба на неявку мастеров, не указана услуга",сегодня должны были прийти мастера в двенадцать часов дня мастеров не было
Отопление,0.9,Упоминание отсутствия тепла,У нас нет Типа до сих пор
Иное,0.9,"Открытый люк на проезжей части, не относится к ЖКХ",на проезжей части по улице калинина напротив бара садко открытка  люк
Ремонт,0.85,Житель сообщает о падающем козырьке квартиры,козырек это самое на квартире номер один скоро упадет можно его сделать
Электроснабжение,0.9,Шум электрического ящика указывает на проблему с электричеством,на первом на первом этаже шумит электрический ящик
Электроснабжение,0.7,"Упоминание розетки, связанной с электричеством",у нас нужно проверить цвет розетку
Водоснабжение,0.6,"Общая проблема с сантехникой, вероятно вода",проблема с сантехникой
Иное,0.6,"Жалоба на шум, не связана с ЖКХ",вот ночью вот на дворе это надо спать ложиться а посредине квартиры очень шумно они подтянули все по насреддину от от ванны и на балкон на балкон в общем
Уборка уличная,0.9,"Просьба убрать мусорный контейнер, относится к уличной уборке","надо убрать контейнер мусорный
перезвоните на мой номер телефона"
Водоснабжение,0.6,"Упоминание протечки, вероятно, воды","протекает
уже миллион раз было"
Иное,0.7,"Житель отменяет заявку, суть не указана",я звонила делала заявку но это у нас внутренняя там авария я отменяю заказ
НЕЯСНО,0.1,"Нет описания проблемы, только упоминание звонка",у меня от вас пропущенный звонок
Уборка уличная,0.8,Просьба убрать территорию возле магазина,почистить надо возле магазина олега
Крыша,0.9,Прямое указание на проблему с крышей,у нас крыша крыша еще
НЕЯСНО,0.3,Фраза не содержит сути обращения,"счет стояк
да вы че это вчера"
НЕЯСНО,0.1,Фраза не содержит информации о проблеме,ну илье иди посмотри
Водоснабжение,0.7,"Упоминание гибкой подводки, вероятно, для воды","так у меня уже вчера вызывала 
 
да приходили но сказали надо гибкую это подвязку и до пятидесяти и две дойти я купила пусть приходят тогда"
Уборка уличная,0.95,Жалоба на нечищенные дворы и проезды,так дворы нечищенные невозможно ходить даже скоро проехать не может ни такси ни скоро ничего не вызвать
Иное,0.9,Газ не относится к ЖКХ категориям,у меня газ не работает хотел
Иное,0.9,"Провал асфальта во дворе, не относится к инженерным системам",у нас во дворе около подъезда проваливается асфальт или там что то
Отопление,0.9,Упоминание подключения отопления и отсутствия тепла,ни в одной комнате нет затопления хотя дом уже вроде подключили
Водоснабжение,0.9,Упоминание отсутствия давления воды,4 эт. нет давления воды
Крыша,0.9,Упоминание протечки с крыши,"капа от крыша
пускай перезвонит"
Крыша,0.95,Течь с кровли в подъезде,у нас подъезде течет с кровли кв. 85 и 83
Иное,0.9,"Поломка бытовой техники, не относится к ЖКХ",стиральная машина вышла из строя
Отопление,0.95,Житель жалуется на отсутствие тепла в квартире,У нас нет тепла говорят везде есть моей квартире нет тепла уже как-то очень влажно холодно
НЕЯСНО,0.1,Текст не содержит информации о проблеме,"цвета 
 пока нет жду ответа на этот вопрос"
Крыша,0.95,"Протечка с чердака, повреждение потолка","значит по адресу улица советов четыре двадцать два а пять протечка с чердака
потолок в пузыре"
Иное,0.3,"Неясно, какая проблема со стеной",у меня ванная получается стена прилегает к
Отопление,0.95,Житель сообщает об отсутствии тепла,"у нас нет тепла
хотим узнать подключен ли вообще наш дом"
Отопление,0.95,Житель сообщает об отсутствии тепла,до сих пор нет тепла во всем доме
Иное,0.7,"Сырая стена около розетки, неясно причина","стенка сырая 
 
даша приехала аварийная служба посмотрела зафиксировалась в сырую стену около розетки"
Отопление,0.95,Житель сообщает об отсутствии тепла в комнатах,вот дали тепло а у нас в комнатах тепла нет только на кухне и ванной
ХВС,0.7,Упоминание холодной воды и аварийной службы,"вы понимаете вчера вызывали аварийную
из банной холодный уходила на работу вчера приезжали заявка была сделана приезжали"
Электроснабжение,0.9,"Обогреватель не работает, вероятно, проблема с электричеством",не работает в подъезде обогреватель// 2 под
Уборка внутренняя,0.95,Жалоба на отсутствие уборки подъезда,у нее нет уборки подъезда второй месяц
Отопление,0.95,Упоминание подключения тепла в комнатах,так вот я сделала заявку а когда подключат в комнатах тепло у нас на пятом этаже никто не живет
Уборка уличная,0.7,Вопрос про прочистку дороги к дому,я хочу узнать прочищенная или дорога к этому дому
Водоснабжение,0.95,Прорыв трубы с затоплением этажей,прорвала трубу затапливает первый и второй этаж
НЕЯСНО,0.3,Нет информации о проблеме,город кондопога улица максима горького дом двадцать шесть квартира три
Отопление,0.7,"Слово 'пеня' может быть ошибкой ASR, вероятно 'батарея'",мне это пеня в комнате
Отопление,0.9,Просьба пропустить воздух в системе отопления,мы приехали домой нам нужно пропустить воздух сиря пусть подойдут
Электроснабжение,0.95,Не работают розетки — проблема с электричеством,"не работают розетки
можно будет подойти завтра в течение дня
Диспетчер - Направила в техотдел, заявка платная."
НЕЯСНО,0.9,Фраза не содержит информации о проблеме,"у нас 
 
больше ничего"
Отопление,0.9,Фраза о подключении к теплу,хотим подключиться к теплу
Крыша,0.95,"Протечка с крыши, требуется составление акта",составить акт протечки с крыши
НЕЯСНО,0.3,Упоминание подъезда без конкретной проблемы,"третий подъезд
в подъезде"
Иное,0.6,"Неясно, что именно гудит и где",опять гудит стоят все сильнее сильнее
Крыша,0.9,Упоминание течи из-под крыши,течь в подъезде из под крыши
Засор водоотведения,0.9,Слово 'забито' указывает на засор,"забито
да быстро вычистить"
Отопление,1.0,Житель сообщает об отсутствии тепла,"нет тепла
а че больше то добавить нет теплатак"
Иное,0.9,Мусоропровод не относится к инженерным системам,Полностью забит мусоропровод в третьем подъезде
Электроснабжение,0.95,Упоминание сбоя напряжения в электросети,"сбой напряжения в электросети
что вы пришли сегодня"
Электроснабжение,0.95,Неисправность розеток относится к электричеству,Розетки в комнате не работают
Отопление,0.95,"Житель спрашивает о подключении тепла, упоминает стояк",когда будет тепло два дня подключали один стояк только греет
Водоотведение,0.7,"Запах канализации, возможен засор",у нас в подъезде дикая вонь и очень много этих
НЕЯСНО,0.9,"Нет конкретной проблемы, только жалоба",сегодня ничего не случилось я насчет вчерашнего я хочу пожал жалобу
Электроснабжение,0.6,"Фраза про отключение, вероятно, электричества",Отключили и не включили
НЕЯСНО,0.9,"Нет конкретной проблемы, только вопрос о времени","да 
 
во сколько не приедут вот хочу узнать
Шашкова Вера Николаевна Я Только Сейчас Вам Это Говорила Девушка"
Отопление,0.95,Упоминание отсутствия тепла и уточнение сроков,"нет тепла
хочу уточнить сроки"
Отопление,1.0,Житель сообщает об отсутствии тепла,нет тепла нет тепла ни в одной комнате заявка по тепло
Иное,0.9,"Просьба закрыть люк, не связана с инженерными системами",закройте люк на чердак в первом подъезде
Иное,0.7,"Жалоба на воду под балконом, не связана с ЖКХ","балконом главное под балконом включили вообще не спать невозможно и холод
Попрошу Вас Попросит Скажите Чтобы Отключили Холодную Воду Кругон Под Балкон Невозможно Находиться В Квартире Когда Включат Эту Воду"
Уборка уличная,0.95,Просьба расчистить снег во дворе,"расчисти снег
простите нет хорошо во дворе"
Отопление,0.95,Житель сообщает об отсутствии тепла,Нету тепла в кухне и в ванне
Водоснабжение,0.8,"Проблема с водяным счетчиком, относится к водоснабжению",Да вы знаете отводного от водяного счётчика в туалете отвалились проводочки
Иное,0.6,Упоминание наладки цвета в тамбуре,в тамбуре нужно наладить цвет
Иное,0.95,"Передача показаний счетчиков, не авария",я ничего не слышал надо передать показания счётчиков горячую и холодную
Отопление,1.0,Житель сообщает об отсутствии тепла,в квартире нет тепла
Ремонт,0.9,Житель просит побелку после пожара,мне нужно побелить в коридоре после пожара до сих пор они до ума не довели они приехали во вторник недоделки сделали а в коридоре у меня не не побелили это что за хрень такая пусть диспетчер позвонит по этому телефону
НЕЯСНО,0.1,"Текст неразборчив, смысл отсутствует",у нас уже коза козырька капля пятая также
Иное,0.9,Вопрос о мусорных контейнерах и жалоба на вывоз мусора,"так мы хотели бы узнать насчет мусорных контейнеров на каком основании с тридцать седьмого признали контейнеры и сейчас люди из этого же дома носят нам мусор свой     Направлено письмо в  Департамент городского хозяйства,"
Водоотведение,0.9,Слив не работает в подъезде,2 подъезд слив не работает
Уборка уличная,0.9,"Просьба очистить двор, указан адрес",нашла очистить двор на воркутинской пятнадцать а
Уборка уличная,0.95,Просьба очистить двор от снега,нужно почистить двор от снега
Отопление,0.95,Житель сообщает об отсутствии тепла,"у меня отсутствует тепло
а что еще я могу добавить у меня нет тепла когда включат"
Уборка уличная,0.95,Просьба убрать дворовую территорию,убрать дворовую территорию герцена сто девять герцена сто пять трактора
Крыша,0.95,"Протечка с крыши, вода над люстрой",Протечка с крыши над комнатой с люстрой пошла вода
НЕЯСНО,0.3,"Нет конкретной проблемы, только просьба",мне нужен специалист
Отопление,0.85,Жалоба на сильную жару и просьба отключить отопление,"чего случилось то что они вообще не знаю как ночевать сегодня весь день вообще такой саф такой страсти не было весь день буха отвез под балконом и вообще вся квартира ходом ходит так я прошу отключите
Я Не Знаю Подключили Всю Систему Подключили Общему Квадрату Нигде Нигде Спасения Нигде Нету"
Отопление,0.9,Упоминание отключения тепла,"у нас когда отключают тепло
возможно не помыться не пошел не помыть ничего"
Водоотведение,0.9,"Затопление связано с водой, вероятно, канализация",затоп со второго этажа на первый
Крыша,0.95,Сосульки на доме угрожают падением,у нас на доме очень большие сосульки висят со стороны подъезда и со стороны магазина уже начали падать боимся
Отопление,0.95,Житель сообщает об отсутствии тепла,"у меня нет тепла
в кухне и ванне нет"
Иное,0.6,"Вопрос про оплату, не связан с ЖКХ",Почему не выключается оплату Никитиной
ГВС,0.95,Житель сообщает об отключении горячей воды,Что меня ничего не случилось так воду отключили горячую и я до сих пор у меня нету я не знаю на есть или нету я второй раз уже вам звоню а
Иное,0.9,"Запрос на передачу показаний, не авария",нужно показания передать
Вентиляция,0.85,Просьба проверить дымоход газовой колонки,Меня ничего не случилась была проверка горга заметка чтоб к вам позвонить чтобы пришли проверили дымоход колонки
НЕЯСНО,0.9,"Просьба соединить с оператором, суть проблемы не указана","соедините с оператором Перезвонили
да соедините с оператором"
НЕЯСНО,0.9,"Житель просит оператора, суть проблемы не указана","оператора хочу
оператора хочу"
Иное,0.9,"Вопрос о работе организации, не авария",я говорю я хочу спросить мп жкх работает ли сегодня
Иное,0.95,Просьба о пропуске для автомобиля,мне нужен пропуск на на автомобиль чтобы пропускали к подъезду
Иное,0.6,"Вопрос о начислениях, не связан с аварией",мне надо выяснить по поводу вторичного значит начисления за
Водоснабжение,0.7,"Слабое давление воды, не указан тип",у меня плохо вытекает подавали
Водоотведение,0.95,"Запах фекалий, возможная протечка в подвале",в подъезде в квартире очень пахнет фикалиями скорее всего в подвале какая то протечка подвал закрыт на замок поэтому нужно приехать и открыть посмотреть и при необходимости все там откачать
Уборка уличная,0.95,Житель просит очистить двор и убрать сосульки,когда очистят наш двор и сосульки уберутся сольки скоро упадут на голову кому нибудь
Уборка уличная,0.9,Житель сообщает о невыполненной уборке мусора во дворе,во двор приехали убирать мусор развернулись и уехали
Иное,0.9,Житель отменяет заявку без указания проблемы,ничего не случилось я просто вам звонила хотела узнать а вы мне заявку я снимаю заявку эту
Засор водоотведения,0.9,"Просьба почистить септик, связана с водоотведением","септик почистить
а хочу вот то что мы уже звонили но не приехали хотим чтобы приехали к нам срочно"
Иное,0.95,Не относится к коммунальным услугам,Около подъезда застрял кот
Отопление,0.95,Житель сообщает об отсутствии тепла в доме,у нас до сих пор нет тепла во всех окружающих домах тепло в нашем доме все еще нет занят займ
ГВС,0.9,Упоминание горячей воды в показаниях,да показания холодной воды ой горячей воды
НЕЯСНО,0.3,"Фраза неразборчива, возможно, технический термин",коронка на молоташе она не размораживается совсем
НЕЯСНО,0.9,Текст не содержит сути обращения,Случилась та что пусть отвечает Оставьте не ответит оператор
НЕЯСНО,0.95,"Житель благодарит, нет заявки",все нормально все сделали я говорю спасибо вам
ГВС,0.9,Упоминание прорыва трубы с горячей водой,в подвале сама трубу прорвала горячую
НЕЯСНО,0.1,"Текст неразборчив, не содержит сути обращения",не моется лиски не можется подъезжать
Водоотведение,0.9,"Упоминание стояка канализации, относится к водоотведению",проверить стояк канализации
Иное,0.9,"Просьба открыть подвал, не связана с авариями",мне нужно попасть в подвал
Водоснабжение,0.9,Упоминание установки водосчетчиков и перекрытия стояка воды,"завтра придут устанавливать жилсервис водосчетчики необходимо перекрыть стояк Услуга платная,"
НЕЯСНО,0.3,Фраза не содержит конкретной проблемы ЖКХ,"у нас истечет
я хочу соедините меня с оператором"
Водоснабжение,0.7,"Лужа под раковиной, возможна протечка воды",меня вот меня меня меня затопило она меня меня затопила какая то черта черная какая то лужа под под раковиной
НЕЯСНО,0.3,"Нет конкретной проблемы, только описание этажа",Да сверху там не знаю Я живу на первом этаже от сверху второй этаж меня
Водоснабжение,0.9,Течь вентиля относится к водоснабжению,течь входного вентеля
ГВС,0.95,Житель спрашивает о горячей воде,узнать почему горячей воды нет
Электроснабжение,0.95,Житель сообщает об отсутствии света,"света у нас нет
да нет ниче не хочу"
НЕЯСНО,0.9,Житель не описывает проблему ЖКХ,"как отключить тупого робота
программу"
Засор водоотведения,0.9,Заказ машины для выкачки ямы,мне надо мне заказать машину для выкачки ямы
Водоотведение,0.8,Запах канализации в подъезде,у нас очень нехороший запах три дня уже в подъезде
НЕЯСНО,0.9,Текст не содержит сути обращения,заявка некорректно оформлена
Отопление,0.7,Упоминание энергии и контекст жалобы на отопление,во второй нет мы уже столько сожгли этой энергии
Иное,0.9,"Просьба дать номер специалиста, не связанная с ЖКХ",номер специалиста какой нибудь дать можете
Иное,0.3,Не указана конкретная проблема ЖКХ,соседи кто то сверху
Электроснабжение,0.95,Проблема с розеткой и электроприборами на кухне,не работает электроплита на кухне чайник не включается микроволновка не работает видимо вот эта розетка не работает на кухне
Крыша,0.95,Повреждение кровли после циклона,После циклона сорвало рубероид на крыше   веранды и шифер на крыше
Отопление,0.95,Житель жалуется на холод и спрашивает о тепле,когда будет тепло в нашем доме мы уже вообще замерзли
Ремонт,0.85,Просьба установить поручни на лестницу,мне хотелось бы чтобы нам поставили поручные на лестницу входа в подъезд
НЕЯСНО,0.95,"Только благодарность, нет конкретной проблемы",спасибо вашему жеку и низкий потом всем сотрудникам за вашу отличную работу
Отопление,0.85,"Стук в квартире после включения отопления, жалоба на духоту и давление.","подключено все с скачиванием мобильного приложения озон сто восемь по всей квартире стучит и всем это уже вот сутки и ночь и вчера включили вот сколько в четыре часа включили вечером
Оператора Нету На Месте Я Объяснила Бы В Чем Дело То Надо Убрать Это Все Они Они Прям У Меня Задушили Узанов Задушили Я Умираю Головные Боли Давление Снизилось"
Отопление,0.9,Воздушность характерна для систем отопления,заявка на устранение воздушности
Уборка внутренняя,0.9,"Мусор в подъезде, требуется уборка","завален вход в подъезд мусором
пока нет"
Иное,0.9,Жалоба на повреждение имущества при уборке снега,четвертого апреля я отправлял фотографию скриншот о том что погрузчик при расчистке снега раздавил телегу
НЕЯСНО,0.9,"Нет информации о проблеме, только эмоции",девушка я только что вам звонила какие пятнадцать тысяч можно мне ответить пожалуйста
Иное,0.95,"Передача показаний счетчиков, не авария",хочу передать показания счетчиков
Электроснабжение,0.7,"Вероятно, речь о неработающем освещении в подъезде",не перебирает подъезд
Иное,0.7,"Описание шума от водяного мотора, неясно",в середине квартиры поставлено внизу мотор этот водяной он врет как прямо железно гремит бо всей квартире будет невозможно посередине я директору если я буду звонить
ГВС,0.95,Заявка на передачу показаний горячей воды,мы хотим подать заявку на на показания на горячую воду
Уборка уличная,0.95,Житель сообщает о неубранном снеге,снег не убран на территории
Отопление,0.9,"Упоминание подключения отопления, ошибка ASR","когда будет отупление подключено пример и стенка 
 
всё"
НЕЯСНО,0.9,Нет информации о проблеме,пусть оператор перезвонит
Иное,0.7,"Житель спрашивает о статусе заявки, не описывая проблему",а когда со мной свяжутся я оставляла заявку
Крыша,0.95,Упоминание течи кровли после зимы,течь кровли после зимы
Иное,0.3,"Текст неразборчив, возможно жалоба на машину","сдерают
быстрее машина то прям сипат меня"
Уборка уличная,0.9,Сбивка снега и сосулек — уличная уборка,Даёт снег надо скриншот сбить сосульки
Иное,0.9,"Жалоба на начисления, не связана с ЖКХ",неправильно начисление
ГВС,0.95,Передача показаний счетчика горячей воды,мне нужно передать показания по счетчику на горячую воду
Уборка уличная,0.9,Жалоба на уборку мусора у контейнеров,не убирается мусор у контейнеров
Водоснабжение,0.6,"Слово 'коммунизация' похоже на 'коммуникации', вероятно, протечка воды",протекает коммунизация
Водоотведение,0.9,Затопление из-за канализации,затапливает квартиру// канализация
Уборка уличная,0.95,"Жалоба на нечищеный двор, мешает проезду",не чищен двор невозможно проехать на машине
Водоснабжение,0.6,"Упоминание отключения воды, неясно какой",у нас отключили вот мне бы хотелось знать когда ее дадут
Иное,0.95,"Запрос справки, не связанный с аварийными услугами",так мне нужна справка о составе семьи для газовой службы
Отопление,0.95,Упоминание отсутствия тепла по стояку,не поступает тепло по стояку который второй подъезд стоят который выходит во двор
Отопление,0.9,"Житель жалуется на холод в комнате, вероятно, проблема с отоплением.",у меня стоят холодный в маленькой комнате я звонила еще двадцать четвертого числа до сих пор никто не приехал вот почему то вчера в двенадцатую квартиру так приехали
НЕЯСНО,0.9,"Нет конкретной проблемы, только эмоции и просьба","безобразие вообще
я хочу чтобы вы приехали потому что я сегодня уеду вечером я хочу чтобы сегодня мне приехали и сделали"
Отопление,0.95,Житель сообщает об отсутствии тепла,в большой комнате нету тепла
Электроснабжение,0.95,Не работает светильник в подъезде,у нас в подъезде в четвертом на первом этаже как только заходишь подъезд с левой стороны есть светильник он у нас сейчас не работает не горит и поэтому в подъезд заходишь очень темно пока не поднимешься до первого этажа светильник на первом этаже не включается
Водоснабжение,0.7,"Протечка на кухне, вероятно, связана с водой",Не устранили протечка в на кухне я уже приглашала слесарей и всё равно ничего не происходит ничего не это не исправлено Пусть приходят и делают
НЕЯСНО,0.9,"Просьба перезвонить, суть проблемы не указана",пусть перезвонит оператор пожалуйста хватит уже
Ремонт,0.9,"Поломка сифона под раковиной, требуется ремонт","у меня сломался сифона в раковине под раковиной на кухне мне надо отремонтировать его срочно
я инвалид второй группы хожу очень плохо желательно срочно сделать это то устранить это это аварию эту"
