category,confidence,reason,description
НЕЯСНО,0.4,Непонятно что именно гудит в подъезде,"в подъезде гудит
гудит очень сильно и долго гудит"
Иное,0.95,Житель хочет передать показания счётчика,"передать показания счетчика
показания счетчика"
НЕЯСНО,0.45,Запрос о контакте по насосу в ремонте,у кого конкретно я могу уточнить по общедомовому прибору по насосу который у нас в ремонте с кем мне можно связаться
Крыша,0.72,Глыба льда на крыше — угроза безопасности,<ADDR>- срочно снять глыбу льда с крыши нет дома света
Отопление,0.9,Нет парового отопления в квартире,Нету парового в трёхкомнатной квартире
НЕЯСНО,0.95,"Запрос на связь с оператором, суть обращения неясна","связь с оператором
связь с оператором"
НЕЯСНО,0.95,"Фраза обрывается, суть обращения не указана","в подъезде
в подъезде"
Засор водоотведения,0.93,"Подвал залит канализационными стоками, запах",в подвале течет струк говно три недели уже залит подвал дышать нечем сколько это будет продолжаться
Отопление,0.85,Замер температуры воздуха в квартире,мне нужен заявку на техника который пришел бы измерил температуру воздуха в квартире
Крыша,0.97,"Протекает крыша, обвалился потолок, ремонт не завершён",у нас протекает крыша и обвалился потолок вчера приезжали плотники закрывать там толью забивать крышу наполовину сделали и все
Крыша,0.95,Нависание снега с крыши здания,нависает снег с крыши
Отопление,0.72,Гудят трубы в тепловом узле здания,трубы которые блок видимо тепловой узел гудят
Ремонт,0.85,Замена детали сливного бачка унитаза,Замена трубки сливного бачка
Отопление,0.82,Пар из подвала — прорыв трубы отопления,между вторым и третьим подъездом из подвала идет пар
Ремонт,0.72,Просьба закрыть открытую фрамугу в подъезде,у нас на этаже нашем третьем подъезде на четвертом этаже стало быть и открыто фрамуг ну холод идёт и никто не соизволит столько времени закрыть представляет а я женщина уже пожилая я не могу у меня сил нет и вот я бы хотела попросить вас чтобы вы кого то послали чтобы
НЕЯСНО,0.95,"Житель просит оператора, суть обращения не указана","оператора мне включите пожалуйста
мне нужен оператор соедините пожалуйста не хочу разговаривать с автоответчиком"
НЕЯСНО,0.2,Непонятно о какой линии идёт речь,до сих пор нету этот линии
Ремонт,0.93,"Оторвался козырёк на доме, требует ремонта","<ADDR> козырёк оторвался на доме железово болтается оторвётся кому на голову
хочу чтобы побыстрее отремонтировали то оторвётся кому нибудь голову оторвёт козырёк этот"
Водоснабжение,0.7,"Прорыв трубы в подвале, тип воды неясен",в подвале прорвала трубу
НЕЯСНО,0.9,"Обращение к директору, суть заявки неясна",скажите вашему директору <NAME> если будет установи канал
ГВС,0.95,Передача показаний счётчика горячей воды,я бы хотела передать показания по горячей воде
Отопление,0.95,Просьба об отключении системы отопления,просьба отключить тепло
Домофоны,0.97,Требуется ремонт домофона,Ремонт домофона необходимо
Отопление,0.97,Житель сообщает об отсутствии теплоснабжения,отсутствует теплоснабжения
Иное,0.85,Упавшее дерево — не коммунальная неисправность,У нас случилась дерево упало
Отопление,0.97,Нет тепла на кухне и в ванной,я давала заявку у нас в кухне и в бане нет тепла в кухне ненадолго дали тепло и исчезла опять тепло опять нет тепла
НЕЯСНО,0.2,"Текст слишком фрагментарный, суть обращения непонятна",Отключено и Свистунов меня
НЕЯСНО,0.2,Не указано что именно нужно восстановить,в первом подъезде на четвертом этаже нужно восстановить
Вентиляция,0.85,"Забит дымоход, просит прочистить для колонки",в пятницу проверяли дымоходы человека у меня значит забито дымоход забит хотелось бы чтобы прочистили его чтобы муж было пользоваться колонкой
Иное,0.85,Запрос телефона службы выписки и прописки,"мне нужен телефон
выписки и прописки"
ХВС,0.72,"Полотенцесушитель холодный, вероятно ХВС/ГВС после ремонта",хотела у нас холодное полотенце сушитель после вчерашнего ремонта что то делали сотрудники ваши
НЕЯСНО,0.4,Конденсат с окна — неясна причина и система,Авария конденсат идёт с окна капает
Отопление,0.97,"Нет тепла в квартирах, батареи холодные",тепло в подъезде есть а в квартирах нет
Водоснабжение,0.82,"Насос водоснабжения в подвале, вода в целом",подкачивающий водяной насос в подвале
НЕЯСНО,0.95,"Нет сути обращения, только разговор о сотруднике","да
<NAME> то нету на месте она бы сказала что делать то"
НЕЯСНО,0.95,Текст не содержит сути обращения,"сведения передать на
пока нет"
НЕЯСНО,0.95,"Только адрес, суть обращения не указана","<ADDR>
что"
Отопление,0.85,Нет пара — отсутствие тепла/отопления,у нас ничего не случилось у нас семнадцатое число сегодня и у нас нет пара
Вентиляция,0.72,"Житель жалуется на нечем дышать, задыхается",тоже невозможно дышать нечем я задыхаю все вопросы звонила сейчас в департамент все вопросы на на <ADDR> звонила тоже все вопросы коммунальщик работает с этим вопросом задушили не
Отопление,0.97,Житель сообщает об отсутствии тепла в секции,у нас секции до сих пор нету тепла
НЕЯСНО,0.4,Не указана причина вызова мастеров,сегодня должны были прийти мастера в двенадцать часов дня мастеров не было
НЕЯСНО,0.2,Неясно что именно отсутствует у жителя,У нас нет Типа до сих пор
Иное,0.82,открытый люк на проезжей части улицы,на проезжей части по улице <ADDR> напротив бара <NAME> открытка  люк
Ремонт,0.82,Козырёк над квартирой требует ремонта/укрепления,козырек это самое на квартире номер <ADDR> скоро упадет можно его сделать
Электроснабжение,0.87,Шум электрического щитка на первом этаже,на первом на первом этаже шумит электрический ящик
Электроснабжение,0.55,упоминание розетки — электрическая инфраструктура,у нас нужно проверить цвет розетку
Водоснабжение,0.4,"Упомянута сантехника, конкретика отсутствует",проблема с сантехникой
НЕЯСНО,0.4,"Неясно о чём шум, возможно вентиляция или трубы",вот ночью вот на дворе это надо спать ложиться а посредине квартиры очень шумно они подтянули все по насреддину от от ванны и на балкон на балкон в общем
Иное,0.7,Просьба убрать мусорный контейнер,"надо убрать контейнер мусорный
перезвоните на мой номер телефона"
НЕЯСНО,0.3,Неясно что именно протекает и где,"протекает
уже миллион раз было"
НЕЯСНО,0.4,"Житель отменяет заявку, суть аварии не указана",я звонила делала заявку но это у нас внутренняя там авария я отменяю заказ
НЕЯСНО,0.95,"Житель сообщает о пропущенном звонке, суть обращения неясна",у меня от вас пропущенный звонок
Уборка уличная,0.7,просьба почистить территорию возле магазина,почистить надо возле магазина <ADDR>
Крыша,0.9,Житель упоминает крышу как проблему,у нас крыша крыша еще
НЕЯСНО,0.2,"Фрагментарный текст, суть обращения неясна","счет стояк
да вы че это вчера"
НЕЯСНО,0.95,Текст не содержит информации о проблеме,ну <NAME> иди посмотри
НЕЯСНО,0.3,"Контекст неясен, суть проблемы не определена","так у меня уже вчера вызывала 
 
да приходили но сказали надо гибкую это подвязку и до пятидесяти и две дойти я купила пусть приходят тогда"
Уборка уличная,0.95,"Жалоба на неубранные дворы, проезд затруднён",так дворы нечищенные невозможно ходить даже скоро проехать не может ни такси ни скоро ничего не вызвать
Иное,0.85,Жалоба на неработающий газ в квартире,у меня газ не работает хотел
Иное,0.82,Провал асфальта во дворе около подъезда,у нас во дворе около подъезда проваливается асфальт или там что то
Отопление,0.82,"Нет тепла в комнатах, дом подключён к отоплению",ни в одной комнате нет затопления хотя дом уже вроде подключили
Водоснабжение,0.85,"Нет давления воды, этаж не уточняет тип",4 эт. нет давления воды
Крыша,0.7,"Упомянута крыша, просьба перезвонить","капа от крыша
пускай перезвонит"
Крыша,0.95,"Течёт с кровли в подъезде, квартиры 85 и 83",у нас подъезде течет с кровли кв. <ADDR> и <ADDR>
Иное,0.85,"Поломка бытовой техники, не относится к ЖКХ",стиральная машина вышла из строя
Отопление,0.97,"Нет тепла в квартире, холодно, влажно",У нас нет тепла говорят везде есть моей квартире нет тепла уже как-то очень влажно холодно
НЕЯСНО,0.95,Текст не содержит сути обращения по ЖКХ,"цвета 
 пока нет жду ответа на этот вопрос"
Крыша,0.95,"протечка с чердака, потолок в пузыре","значит по адресу <ADDR> протечка с чердака
потолок в пузыре"
НЕЯСНО,0.2,"Фраза обрывается, суть проблемы не ясна",у меня ванная получается стена прилегает к
Отопление,0.97,Житель сообщает об отсутствии тепла в доме,"у нас нет тепла
хотим узнать подключен ли вообще наш дом"
Отопление,0.99,Житель сообщает об отсутствии тепла в доме,до сих пор нет тепла во всем доме
Ремонт,0.55,"Сырая стена, возможно протечка или влажность","стенка сырая 
 
даша приехала аварийная служба посмотрела зафиксировалась в сырую стену около розетки"
Отопление,0.97,"Нет тепла в комнатах, батареи холодные",вот дали тепло а у нас в комнатах тепла нет только на кухне и ванной
ГВС,0.6,"упоминание банной и холодной воды, аварийная","вы понимаете вчера вызывали аварийную
из банной холодный уходила на работу вчера приезжали заявка была сделана приезжали"
Отопление,0.9,Не работает обогреватель в подъезде,не работает в подъезде обогреватель// 2 под
Уборка внутренняя,0.93,Жалоба на отсутствие уборки в подъезде,у нее нет уборки подъезда второй месяц
Отопление,0.9,Жительница спрашивает когда подключат тепло,так вот я сделала заявку а когда подключат в комнатах тепло у нас на пятом этаже никто не живет
НЕЯСНО,0.4,Неясно что именно имеется в виду под дорогой,я хочу узнать прочищенная или дорога к этому дому
Водоснабжение,0.85,"Прорыв трубы, затопление нескольких этажей",прорвала трубу затапливает первый и второй этаж
НЕЯСНО,0.95,"Указан только адрес, суть обращения отсутствует",<ADDR>
НЕЯСНО,0.2,"Текст неразборчив, суть обращения непонятна",мне это пеня в комнате
Вентиляция,0.55,"просят пропустить воздух, вероятно вентиляция",мы приехали домой нам нужно пропустить воздух сиря пусть подойдут
Электроснабжение,0.95,Не работают розетки — проблема с электроснабжением,"не работают розетки
можно будет подойти завтра в течение дня
Диспетчер - Направила в техотдел, заявка платная."
НЕЯСНО,1.0,Текст не содержит информации о проблеме,"у нас 
 
больше ничего"
Отопление,0.9,Запрос на подключение к системе отопления,хотим подключиться к теплу
Крыша,0.97,Просьба составить акт протечки с крыши,составить акт протечки с крыши
НЕЯСНО,0.2,"Упомянут подъезд, суть обращения не ясна","третий подъезд
в подъезде"
НЕЯСНО,0.3,"Непонятно что гудит, объект не указан",опять гудит стоят все сильнее сильнее
Крыша,0.95,Течь в подъезде из-под крыши,течь в подъезде из под крыши
НЕЯСНО,0.3,"Непонятно что именно забито, нет контекста","забито
да быстро вычистить"
Отопление,0.97,Житель сообщает об отсутствии тепла,"нет тепла
а че больше то добавить нет теплатак"
Иное,0.93,Засор мусоропровода в подъезде,Полностью забит мусоропровод в третьем подъезде
Электроснабжение,0.85,Сбой напряжения в электросети — проблема электроснабжения,"сбой напряжения в электросети
что вы пришли сегодня"
Электроснабжение,0.95,Не работают розетки в комнате,Розетки в комнате не работают
Отопление,0.95,"Жалоба на частичное подключение отопления, греет один стояк",когда будет тепло два дня подключали один стояк только греет
Водоотведение,0.55,"Вонь в подъезде, вероятно запах канализации",у нас в подъезде дикая вонь и очень много этих
НЕЯСНО,0.95,"Житель хочет подать жалобу, суть не указана",сегодня ничего не случилось я насчет вчерашнего я хочу пожал жалобу
НЕЯСНО,0.2,Не указано что именно отключили и не включили,Отключили и не включили
НЕЯСНО,0.95,"Житель спрашивает о времени приезда, суть заявки неясна","да 
 
во сколько не приедут вот хочу узнать
<PERSON> Я Только Сейчас Вам Это Говорила Девушка"
Отопление,0.95,Житель сообщает об отсутствии тепла,"нет тепла
хочу уточнить сроки"
Отопление,0.99,Житель сообщает об отсутствии тепла,нет тепла нет тепла ни в одной комнате заявка по тепло
Крыша,0.72,Просьба закрыть люк на чердак,закройте люк на чердак в первом подъезде
ХВС,0.72,жалоба на холодную воду под балконом,"балконом главное под балконом включили вообще не спать невозможно и холод
Попрошу Вас Попросит Скажите Чтобы Отключили Холодную Воду Кругон Под Балкон Невозможно Находиться В Квартире Когда Включат Эту Воду"
Уборка уличная,0.85,Просьба расчистить снег во дворе,"расчисти снег
простите нет хорошо во дворе"
Отопление,0.97,Жалоба на отсутствие тепла в помещениях,Нету тепла в кухне и в ванне
ХВС,0.72,Неисправность счётчика холодной воды в туалете,Да вы знаете отводного от водяного счётчика в туалете отвалились проводочки
Электроснабжение,0.45,"вероятно, речь о свете в тамбуре",в тамбуре нужно наладить цвет
Иное,0.85,Передача показаний счётчиков воды,я ничего не слышал надо передать показания счётчиков горячую и холодную
Отопление,0.99,Житель сообщает об отсутствии тепла в квартире,в квартире нет тепла
Ремонт,0.82,"Жалоба на незавершённый ремонт после пожара, побелка коридора",мне нужно побелить в коридоре после пожара до сих пор они до ума не довели они приехали во вторник недоделки сделали а в коридоре у меня не не побелили это что за хрень такая пусть диспетчер позвонит по этому телефону
НЕЯСНО,0.2,"Текст нераспознан, смысл обращения непонятен",у нас уже коза козырька капля пятая также
Иное,0.82,Вопрос о мусорных контейнерах и их принадлежности,"так мы хотели бы узнать насчет мусорных контейнеров на каком основании с тридцать седьмого признали контейнеры и сейчас люди из этого же дома носят нам мусор свой     Направлено письмо в  Департамент городского хозяйства,"
Засор водоотведения,0.85,Слив не работает — проблема водоотведения,2 подъезд слив не работает
Уборка уличная,0.82,Просьба очистить двор на улице,нашла очистить двор на <ADDR> а
Уборка уличная,0.97,Просьба убрать снег во дворе,нужно почистить двор от снега
Отопление,0.99,Житель сообщает об отсутствии тепла,"у меня отсутствует тепло
а что еще я могу добавить у меня нет тепла когда включат"
Уборка уличная,0.95,Просьба убрать дворовую территорию по адресу,убрать дворовую территорию <ADDR> <ADDR> трактора
Крыша,0.97,"Протечка с крыши, вода в комнате",Протечка с крыши над комнатой с люстрой пошла вода
НЕЯСНО,0.95,Не указана суть проблемы или тип обращения,мне нужен специалист
НЕЯСНО,0.3,"Неразборчивый текст, суть проблемы непонятна","чего случилось то что они вообще не знаю как ночевать сегодня весь день вообще такой саф такой страсти не было весь день буха отвез под балконом и вообще вся квартира ходом ходит так я прошу отключите
Я Не Знаю Подключили Всю Систему Подключили Общему Квадрату Нигде Нигде Спасения Нигде Нету"
Отопление,0.72,Житель спрашивает об отключении тепла,"у нас когда отключают тепло
возможно не помыться не пошел не помыть ничего"
Ремонт,0.72,Затопление квартиры с верхнего этажа,затоп со второго этажа на первый
Крыша,0.93,"Сосульки на крыше дома, падают, опасность",у нас на доме очень большие сосульки висят со стороны подъезда и со стороны магазина уже начали падать боимся
Отопление,0.97,Житель сообщает об отсутствии тепла,"у меня нет тепла
в кухне и ванне нет"
НЕЯСНО,0.3,"Непонятный текст про оплату, не ЖКХ-проблема",Почему не выключается оплату <NAME>
ГВС,0.93,Жалоба на отсутствие горячей воды,Что меня ничего не случилось так воду отключили горячую и я до сих пор у меня нету я не знаю на есть или нету я второй раз уже вам звоню а
Иное,0.85,"Передача показаний счётчиков, не аварийная заявка",нужно показания передать
Вентиляция,0.72,Проверка дымохода газовой колонки,Меня ничего не случилась была проверка горга заметка чтоб к вам позвонить чтобы пришли проверили дымоход колонки
НЕЯСНО,0.95,"Житель просит соединить с оператором, суть обращения не указана","соедините с оператором Перезвонили
да соедините с оператором"
НЕЯСНО,0.95,"Житель просит оператора, суть обращения неизвестна","оператора хочу
оператора хочу"
НЕЯСНО,0.85,"Житель спрашивает о работе МП ЖКХ, нет технической проблемы",я говорю я хочу спросить мп жкх работает ли сегодня
Иное,0.9,Запрос пропуска для автомобиля к подъезду,мне нужен пропуск на на автомобиль чтобы пропускали к подъезду
НЕЯСНО,0.95,"Фраза обрывается, тема начисления не уточнена",мне надо выяснить по поводу вторичного значит начисления за
Засор водоотведения,0.72,"плохо вытекает вода, вероятно засор слива",у меня плохо вытекает подавали
Водоотведение,0.92,"Запах фекалий, вероятная протечка канализации в подвале",в подъезде в квартире очень пахнет фикалиями скорее всего в подвале какая то протечка подвал закрыт на замок поэтому нужно приехать и открыть посмотреть и при необходимости все там откачать
Уборка уличная,0.93,Уборка двора и сосулек на улице,когда очистят наш двор и сосульки уберутся сольки скоро упадут на голову кому нибудь
Уборка уличная,0.9,Мусоровоз приехал во двор и уехал,во двор приехали убирать мусор развернулись и уехали
НЕЯСНО,0.95,"Житель отзывает заявку, суть обращения неизвестна",ничего не случилось я просто вам звонила хотела узнать а вы мне заявку я снимаю заявку эту
Водоотведение,0.7,"Септик — система водоотведения, требуют выезда","септик почистить
а хочу вот то что мы уже звонили но не приехали хотим чтобы приехали к нам срочно"
Иное,0.7,Животное застряло около подъезда,Около подъезда застрял кот
Отопление,0.95,Жалоба на отсутствие тепла в доме,у нас до сих пор нет тепла во всех окружающих домах тепло в нашем доме все еще нет занят займ
ГВС,0.55,Упоминание показаний горячей воды,да показания холодной воды ой горячей воды
Отопление,0.72,Не размораживается — проблема с замерзанием/отоплением,коронка на молоташе она не размораживается совсем
НЕЯСНО,0.95,"Текст бессвязный, суть обращения не определена",Случилась та что пусть отвечает Оставьте не ответит оператор
НЕЯСНО,0.95,Житель благодарит без указания сути обращения,все нормально все сделали я говорю спасибо вам
ГВС,0.87,прорыв горячей трубы в подвале,в подвале сама трубу прорвала горячую
НЕЯСНО,0.2,"Текст неразборчив, суть обращения непонятна",не моется лиски не можется подъезжать
Водоотведение,0.85,Проверка стояка канализации — водоотведение,проверить стояк канализации
Иное,0.7,Просьба обеспечить доступ в подвал,мне нужно попасть в подвал
ХВС,0.82,"Установка водосчётчиков, перекрытие стояка холодной воды","завтра придут устанавливать жилсервис водосчетчики необходимо перекрыть стояк Услуга платная,"
НЕЯСНО,0.95,"Суть обращения не раскрыта, просьба соединить","у нас истечет
я хочу соедините меня с оператором"
Засор водоотведения,0.82,"лужа под раковиной, возможен засор слива",меня вот меня меня меня затопило она меня меня затопила какая то черта черная какая то лужа под под раковиной
НЕЯСНО,0.2,"Неясно о чём жалоба, только упоминание этажей",Да сверху там не знаю Я живу на первом этаже от сверху второй этаж меня
ХВС,0.72,течь запорного вентиля холодного водоснабжения,течь входного вентеля
ГВС,0.97,Житель сообщает об отсутствии горячей воды,узнать почему горячей воды нет
Электроснабжение,0.85,Житель сообщает об отсутствии света,"света у нас нет
да нет ниче не хочу"
НЕЯСНО,0.95,"Жалоба на робота/программу, нет сути обращения","как отключить тупого робота
программу"
Водоотведение,0.82,Запрос на откачку выгребной ямы,мне надо мне заказать машину для выкачки ямы
Вентиляция,0.55,Запах в подъезде — возможно вентиляция или канализация,у нас очень нехороший запах три дня уже в подъезде
НЕЯСНО,0.95,"Нет описания проблемы, только служебная пометка",заявка некорректно оформлена
НЕЯСНО,0.2,"Текст неясен, суть обращения не определена",во второй нет мы уже столько сожгли этой энергии
НЕЯСНО,0.9,"Житель просит контакт специалиста, суть проблемы неясна",номер специалиста какой нибудь дать можете
НЕЯСНО,0.95,"Фраза обрывочная, суть обращения не ясна",соседи кто то сверху
Электроснабжение,0.9,Не работают розетки на кухне,не работает электроплита на кухне чайник не включается микроволновка не работает видимо вот эта розетка не работает на кухне
Крыша,0.97,"Повреждение кровли после циклона, сорвало рубероид и шифер",После циклона сорвало рубероид на крыше   веранды и шифер на крыше
Отопление,0.97,Житель жалуется на отсутствие тепла в доме,когда будет тепло в нашем доме мы уже вообще замерзли
Ремонт,0.85,Просьба установить поручни на лестнице подъезда,мне хотелось бы чтобы нам поставили поручные на лестницу входа в подъезд
НЕЯСНО,0.95,Житель благодарит без конкретной технической проблемы,спасибо вашему жеку и низкий потом всем сотрудникам за вашу отличную работу
Отопление,0.55,стучит по всей квартире после включения отопления,"подключено все с скачиванием мобильного приложения озон сто восемь по всей квартире стучит и всем это уже вот сутки и ночь и вчера включили вот сколько в четыре часа включили вечером
Оператора Нету На Месте Я Объяснила Бы В Чем Дело То Надо Убрать Это Все Они Они Прям У Меня Задушили Узанов Задушили Я Умираю Головные Боли Давление Снизилось"
Отопление,0.72,Завоздушенность чаще всего относится к системе отопления,заявка на устранение воздушности
Уборка внутренняя,0.85,Мусор у входа в подъезд,"завален вход в подъезд мусором
пока нет"
Иное,0.82,Повреждение имущества техникой при уборке снега,четвертого апреля я отправлял фотографию скриншот о том что погрузчик при расчистке снега раздавил телегу
НЕЯСНО,0.95,"Жалоба на обслуживание, суть обращения неясна",девушка я только что вам звонила какие пятнадцать тысяч можно мне ответить пожалуйста
Иное,0.85,Житель хочет передать показания счётчиков,хочу передать показания счетчиков
Домофоны,0.55,не перебирает подъезд — вероятно домофон,не перебирает подъезд
НЕЯСНО,0.35,"Упомянут водяной мотор, но суть жалобы неясна",в середине квартиры поставлено внизу мотор этот водяной он врет как прямо железно гремит бо всей квартире будет невозможно посередине я директору если я буду звонить
ГВС,0.85,Упоминание горячей воды и показаний счётчика,мы хотим подать заявку на на показания на горячую воду
Уборка уличная,0.97,Жалоба на неубранный снег на территории,снег не убран на территории
Отопление,0.85,Житель спрашивает когда подключат отопление,"когда будет отупление подключено пример и стенка 
 
всё"
НЕЯСНО,0.95,"Житель просит перезвонить, суть обращения не указана",пусть оператор перезвонит
НЕЯСНО,0.95,"Житель ждёт ответа по заявке, суть неизвестна",а когда со мной свяжутся я оставляла заявку
Крыша,0.97,Течь кровли — проблема с крышей,течь кровли после зимы
НЕЯСНО,0.15,"Текст неразборчив, суть обращения непонятна","сдерают
быстрее машина то прям сипат меня"
Иное,0.7,Просьба сбить сосульки и снег с крыши,Даёт снег надо скриншот сбить сосульки
Иное,0.85,Жалоба на неправильное начисление платежей,неправильно начисление
ГВС,0.85,Передача показаний счётчика горячей воды,мне нужно передать показания по счетчику на горячую воду
Уборка уличная,0.95,Жалоба на неубранный мусор у контейнеров,не убирается мусор у контейнеров
Водоснабжение,0.6,"протечка коммуникаций, вероятно трубопровод водоснабжения",протекает коммунизация
Водоотведение,0.9,Затопление квартиры из-за канализации,затапливает квартиру// канализация
Уборка уличная,0.95,"Жалоба на неубранный двор, проезд затруднён",не чищен двор невозможно проехать на машине
НЕЯСНО,0.15,Не указано что именно отключили,у нас отключили вот мне бы хотелось знать когда ее дадут
Иное,0.85,Запрос справки о составе семьи,так мне нужна справка о составе семьи для газовой службы
Отопление,0.97,Нет тепла по стояку во втором подъезде,не поступает тепло по стояку который второй подъезд стоят который выходит во двор
Отопление,0.92,"Холодно в комнате, батареи не греют",у меня стоят холодный в маленькой комнате я звонила еще двадцать четвертого числа до сих пор никто не приехал вот почему то вчера в двенадцатую квартиру так приехали
НЕЯСНО,0.95,"Не указана суть проблемы, только просьба приехать","безобразие вообще
я хочу чтобы вы приехали потому что я сегодня уеду вечером я хочу чтобы сегодня мне приехали и сделали"
Отопление,0.97,Жалоба на отсутствие тепла в комнате,в большой комнате нету тепла
Электроснабжение,0.97,Не работает светильник в подъезде на первом этаже,у нас в подъезде в четвертом на первом этаже как только заходишь подъезд с левой стороны есть светильник он у нас сейчас не работает не горит и поэтому в подъезд заходишь очень темно пока не поднимешься до первого этажа светильник на первом этаже не включается
Водоснабжение,0.72,"Протечка на кухне, слесари не устранили",Не устранили протечка в на кухне я уже приглашала слесарей и всё равно ничего не происходит ничего не это не исправлено Пусть приходят и делают
